Request id,Pickup point,Driver id,Status,Request Date,Request timestamp,Drop Date,Drop timestamp,Trip Duration (minutes),Request Hour,Request Day of Week,Daypart,Gap Type
5629,Airport,10,Trip Completed,15-07-2016,06:33,15-07-2016,07:19,47,6,Friday,Early Morning,No Gap
6157,Airport,10,Trip Completed,15-07-2016,16:32,15-07-2016,17:44,72,16,Friday,Afternoon,No Gap
2030,City,11,Trip Completed,12-07-2016,14:11,12-07-2016,15:02,51,14,Tuesday,Afternoon,No Gap
3226,City,11,Trip Completed,13-07-2016,10:00,13-07-2016,11:02,63,10,Wednesday,Morning,No Gap
3353,City,11,Trip Completed,13-07-2016,13:29,13-07-2016,14:09,39,13,Wednesday,Afternoon,No Gap
4293,City,11,Trip Completed,14-07-2016,06:42,14-07-2016,07:12,30,6,Thursday,Early Morning,No Gap
4936,City,11,Trip Completed,14-07-2016,18:22,14-07-2016,19:14,52,18,Thursday,Evening,No Gap
5661,Airport,11,Trip Completed,15-07-2016,07:08,15-07-2016,07:59,50,7,Friday,Early Morning,No Gap
5778,City,11,Trip Completed,15-07-2016,08:22,15-07-2016,09:13,51,8,Friday,Early Morning,No Gap
6425,Airport,11,Trip Completed,15-07-2016,19:46,15-07-2016,20:26,40,19,Friday,Evening,No Gap
45,Airport,12,Trip Completed,11-07-2016,03:17,11-07-2016,04:09,52,3,Monday,Late Night,No Gap
264,City,12,Trip Completed,11-07-2016,06:51,11-07-2016,07:40,49,6,Monday,Early Morning,No Gap
1183,City,12,Trip Completed,11-07-2016,21:05,11-07-2016,21:38,33,21,Monday,Night,No Gap
1536,Airport,12,Trip Completed,12-07-2016,05:59,12-07-2016,06:59,60,5,Tuesday,Early Morning,No Gap
2437,City,12,Trip Completed,12-07-2016,20:18,12-07-2016,21:26,68,20,Tuesday,Evening,No Gap
2641,Airport,12,Trip Completed,12-07-2016,22:28,12-07-2016,23:05,37,22,Tuesday,Night,No Gap
4077,Airport,12,Trip Completed,14-07-2016,02:14,14-07-2016,03:13,59,2,Thursday,Late Night,No Gap
4610,City,12,Trip Completed,14-07-2016,10:35,14-07-2016,11:39,64,10,Thursday,Morning,No Gap
5066,Airport,12,Trip Completed,14-07-2016,19:31,14-07-2016,20:14,43,19,Thursday,Evening,No Gap
5666,Airport,12,Trip Completed,15-07-2016,07:04,15-07-2016,08:12,68,7,Friday,Early Morning,No Gap
5923,City,12,Trip Completed,15-07-2016,10:07,15-07-2016,10:50,43,10,Friday,Morning,No Gap
6367,City,12,Trip Completed,15-07-2016,19:04,15-07-2016,19:46,41,19,Friday,Evening,No Gap
155,City,13,Trip Completed,11-07-2016,05:32,11-07-2016,06:28,56,5,Monday,Early Morning,No Gap
310,Airport,13,Trip Completed,11-07-2016,07:24,11-07-2016,08:28,64,7,Monday,Early Morning,No Gap
607,City,13,Trip Completed,11-07-2016,11:51,11-07-2016,12:42,51,11,Monday,Morning,No Gap
1012,City,13,Trip Completed,11-07-2016,19:15,11-07-2016,19:57,42,19,Monday,Evening,No Gap
1696,Airport,13,Trip Completed,12-07-2016,08:01,12-07-2016,08:42,41,8,Tuesday,Early Morning,No Gap
3076,City,13,Trip Completed,13-07-2016,08:09,13-07-2016,09:12,63,8,Wednesday,Early Morning,No Gap
4198,Airport,13,Trip Completed,14-07-2016,05:32,14-07-2016,06:45,73,5,Thursday,Early Morning,No Gap
4627,City,13,Trip Completed,14-07-2016,11:13,14-07-2016,12:00,47,11,Thursday,Morning,No Gap
5289,City,13,Trip Completed,14-07-2016,21:43,14-07-2016,22:24,41,21,Thursday,Night,No Gap
5495,Airport,13,Trip Completed,15-07-2016,05:00,15-07-2016,06:02,62,5,Friday,Early Morning,No Gap
6656,Airport,13,Trip Completed,15-07-2016,22:08,15-07-2016,22:41,33,22,Friday,Night,No Gap
139,Airport,14,Trip Completed,11-07-2016,05:21,11-07-2016,06:09,48,5,Monday,Early Morning,No Gap
215,City,14,Trip Completed,11-07-2016,06:15,11-07-2016,07:07,52,6,Monday,Early Morning,No Gap
1816,City,14,Trip Completed,12-07-2016,09:24,12-07-2016,10:07,43,9,Tuesday,Morning,No Gap
2505,Airport,14,Trip Completed,12-07-2016,21:03,12-07-2016,22:14,71,21,Tuesday,Night,No Gap
3346,City,14,Trip Completed,13-07-2016,13:01,13-07-2016,13:55,54,13,Wednesday,Afternoon,No Gap
5294,City,14,Trip Completed,14-07-2016,21:45,14-07-2016,22:16,31,21,Thursday,Night,No Gap
6226,Airport,14,Trip Completed,15-07-2016,17:34,15-07-2016,18:33,59,17,Friday,Evening,No Gap
6733,Airport,14,Trip Completed,15-07-2016,23:32,16-07-2016,00:37,65,23,Friday,Night,No Gap
1027,Airport,15,Trip Completed,11-07-2016,19:18,11-07-2016,20:24,66,19,Monday,Evening,No Gap
2675,Airport,15,Trip Completed,12-07-2016,23:43,13-07-2016,00:35,52,23,Tuesday,Night,No Gap
3200,City,15,Trip Completed,13-07-2016,09:39,13-07-2016,10:30,51,9,Wednesday,Morning,No Gap
3865,City,15,Trip Completed,13-07-2016,21:52,13-07-2016,22:21,29,21,Wednesday,Night,No Gap
4468,City,15,Trip Completed,14-07-2016,08:42,14-07-2016,09:22,39,8,Thursday,Early Morning,No Gap
5163,Airport,15,Trip Completed,14-07-2016,20:34,14-07-2016,21:05,31,20,Thursday,Evening,No Gap
6009,City,15,Trip Completed,15-07-2016,12:22,15-07-2016,13:25,63,12,Friday,Morning,No Gap
6448,Airport,15,Trip Completed,15-07-2016,20:02,15-07-2016,20:40,38,20,Friday,Evening,No Gap
591,City,16,Trip Completed,11-07-2016,11:25,11-07-2016,12:31,66,11,Monday,Morning,No Gap
709,City,16,Trip Completed,11-07-2016,14:16,11-07-2016,15:03,47,14,Monday,Afternoon,No Gap
1167,Airport,16,Trip Completed,11-07-2016,20:50,11-07-2016,21:52,62,20,Monday,Evening,No Gap
2661,Airport,16,Trip Completed,12-07-2016,23:23,13-07-2016,00:27,64,23,Tuesday,Night,No Gap
2808,City,16,Trip Completed,13-07-2016,05:05,13-07-2016,05:56,51,5,Wednesday,Early Morning,No Gap
3258,Airport,16,Trip Completed,13-07-2016,10:12,13-07-2016,10:45,33,10,Wednesday,Morning,No Gap
3413,Airport,16,Trip Completed,13-07-2016,15:32,13-07-2016,16:45,74,15,Wednesday,Afternoon,No Gap
3939,Airport,16,Trip Completed,13-07-2016,22:26,13-07-2016,22:55,29,22,Wednesday,Night,No Gap
4125,City,16,Trip Completed,14-07-2016,04:37,14-07-2016,05:46,69,4,Thursday,Late Night,No Gap
4457,City,16,Trip Completed,14-07-2016,08:36,14-07-2016,09:19,43,8,Thursday,Early Morning,No Gap
4728,City,16,Trip Completed,14-07-2016,14:04,14-07-2016,15:06,62,14,Thursday,Afternoon,No Gap
5347,Airport,16,Trip Completed,14-07-2016,22:51,14-07-2016,23:53,62,22,Thursday,Night,No Gap
6147,City,16,Trip Completed,15-07-2016,16:11,15-07-2016,17:30,79,16,Friday,Afternoon,No Gap
6496,Airport,16,Trip Completed,15-07-2016,20:33,15-07-2016,21:32,60,20,Friday,Evening,No Gap
634,City,17,Trip Completed,11-07-2016,12:25,11-07-2016,13:06,41,12,Monday,Morning,No Gap
939,Airport,17,Trip Completed,11-07-2016,18:25,11-07-2016,19:26,61,18,Monday,Evening,No Gap
2628,Airport,17,Trip Completed,12-07-2016,22:10,12-07-2016,23:25,75,22,Tuesday,Night,No Gap
3021,City,17,Trip Completed,13-07-2016,07:33,13-07-2016,08:26,53,7,Wednesday,Early Morning,No Gap
4743,City,17,Trip Completed,14-07-2016,14:54,14-07-2016,15:39,45,14,Thursday,Afternoon,No Gap
4981,City,17,Trip Completed,14-07-2016,18:47,14-07-2016,19:43,56,18,Thursday,Evening,No Gap
5367,Airport,17,Trip Completed,14-07-2016,23:35,15-07-2016,00:25,50,23,Thursday,Night,No Gap
5471,Airport,17,Trip Completed,15-07-2016,04:48,15-07-2016,05:47,58,4,Friday,Late Night,No Gap
5988,Airport,17,Trip Completed,15-07-2016,11:48,15-07-2016,12:55,66,11,Friday,Morning,No Gap
6477,Airport,17,Trip Completed,15-07-2016,20:21,15-07-2016,21:00,39,20,Friday,Evening,No Gap
499,City,18,Trip Completed,11-07-2016,09:39,11-07-2016,10:16,37,9,Monday,Morning,No Gap
1147,Airport,18,Trip Completed,11-07-2016,20:42,11-07-2016,21:18,36,20,Monday,Evening,No Gap
1410,Airport,18,Trip Completed,12-07-2016,03:14,12-07-2016,04:27,73,3,Tuesday,Late Night,No Gap
1804,Airport,18,Trip Completed,12-07-2016,09:12,12-07-2016,09:57,45,9,Tuesday,Morning,No Gap
1949,Airport,18,Trip Completed,12-07-2016,11:32,12-07-2016,12:13,41,11,Tuesday,Morning,No Gap
2713,City,18,Trip Completed,13-07-2016,01:46,13-07-2016,02:37,50,1,Wednesday,Late Night,No Gap
2845,City,18,Trip Completed,13-07-2016,05:28,13-07-2016,06:10,42,5,Wednesday,Early Morning,No Gap
3943,Airport,18,Trip Completed,13-07-2016,22:35,13-07-2016,23:33,58,22,Wednesday,Night,No Gap
4792,City,18,Trip Completed,14-07-2016,16:47,14-07-2016,17:34,47,16,Thursday,Afternoon,No Gap
5207,Airport,18,Trip Completed,14-07-2016,20:57,14-07-2016,21:56,59,20,Thursday,Evening,No Gap
5890,City,18,Trip Completed,15-07-2016,09:43,15-07-2016,10:55,71,9,Friday,Morning,No Gap
494,City,19,Trip Completed,11-07-2016,09:36,11-07-2016,10:02,26,9,Monday,Morning,No Gap
1485,City,19,Trip Completed,12-07-2016,05:21,12-07-2016,06:35,74,5,Tuesday,Early Morning,No Gap
2042,City,19,Trip Completed,12-07-2016,14:30,12-07-2016,15:09,39,14,Tuesday,Afternoon,No Gap
2561,Airport,19,Trip Completed,12-07-2016,21:29,12-07-2016,22:44,75,21,Tuesday,Night,No Gap
3813,Airport,19,Trip Completed,13-07-2016,21:06,13-07-2016,21:46,39,21,Wednesday,Night,No Gap
4260,Airport,19,Trip Completed,14-07-2016,06:11,14-07-2016,06:59,48,6,Thursday,Early Morning,No Gap
4395,City,19,Trip Completed,14-07-2016,08:00,14-07-2016,08:54,54,8,Thursday,Early Morning,No Gap
5919,City,19,Trip Completed,15-07-2016,10:03,15-07-2016,10:59,56,10,Friday,Morning,No Gap
6002,Airport,19,Trip Completed,15-07-2016,12:04,15-07-2016,12:53,49,12,Friday,Morning,No Gap
468,City,20,Trip Completed,11-07-2016,09:20,11-07-2016,10:05,45,9,Monday,Morning,No Gap
693,Airport,20,Trip Completed,11-07-2016,13:51,11-07-2016,15:01,70,13,Monday,Afternoon,No Gap
1178,City,20,Trip Completed,11-07-2016,21:05,11-07-2016,22:06,61,21,Monday,Night,No Gap
2103,City,20,Trip Completed,12-07-2016,16:08,12-07-2016,17:18,70,16,Tuesday,Afternoon,No Gap
2292,Airport,20,Trip Completed,12-07-2016,18:46,12-07-2016,19:23,37,18,Tuesday,Evening,No Gap
3339,City,20,Trip Completed,13-07-2016,12:40,13-07-2016,13:30,49,12,Wednesday,Morning,No Gap
3694,City,20,Trip Completed,13-07-2016,19:33,13-07-2016,20:35,62,19,Wednesday,Evening,No Gap
4469,City,20,Trip Completed,14-07-2016,08:45,14-07-2016,09:48,63,8,Thursday,Early Morning,No Gap
6432,City,20,Trip Completed,15-07-2016,19:50,15-07-2016,20:30,39,19,Friday,Evening,No Gap
1895,City,21,Trip Completed,12-07-2016,10:20,12-07-2016,10:52,32,10,Tuesday,Morning,No Gap
1981,Airport,21,Trip Completed,12-07-2016,12:23,12-07-2016,12:56,33,12,Tuesday,Morning,No Gap
3744,Airport,21,Trip Completed,13-07-2016,20:28,13-07-2016,21:22,55,20,Wednesday,Evening,No Gap
4433,Airport,21,Trip Completed,14-07-2016,08:26,14-07-2016,09:12,46,8,Thursday,Early Morning,No Gap
6039,Airport,21,Trip Completed,15-07-2016,13:11,15-07-2016,13:38,27,13,Friday,Afternoon,No Gap
6543,City,21,Trip Completed,15-07-2016,20:54,15-07-2016,22:12,78,20,Friday,Evening,No Gap
110,City,22,Trip Completed,11-07-2016,05:05,11-07-2016,06:06,61,5,Monday,Early Morning,No Gap
362,City,22,Trip Completed,11-07-2016,08:01,11-07-2016,09:18,77,8,Monday,Early Morning,No Gap
666,Airport,22,Trip Completed,11-07-2016,13:02,11-07-2016,13:45,43,13,Monday,Afternoon,No Gap
926,City,22,Trip Completed,11-07-2016,18:28,11-07-2016,19:34,66,18,Monday,Evening,No Gap
1180,Airport,22,Trip Completed,11-07-2016,21:01,11-07-2016,22:14,73,21,Monday,Night,No Gap
1900,City,22,Trip Completed,12-07-2016,10:32,12-07-2016,11:42,70,10,Tuesday,Morning,No Gap
2506,City,22,Trip Completed,12-07-2016,21:01,12-07-2016,21:38,37,21,Tuesday,Night,No Gap
3064,City,22,Trip Completed,13-07-2016,08:02,13-07-2016,08:58,57,8,Wednesday,Early Morning,No Gap
3327,Airport,22,Trip Completed,13-07-2016,12:24,13-07-2016,13:23,59,12,Wednesday,Morning,No Gap
3601,City,22,Trip Completed,13-07-2016,18:39,13-07-2016,19:29,50,18,Wednesday,Evening,No Gap
4768,Airport,22,Trip Completed,14-07-2016,15:39,14-07-2016,16:49,70,15,Thursday,Afternoon,No Gap
5142,City,22,Trip Completed,14-07-2016,20:17,14-07-2016,20:48,31,20,Thursday,Evening,No Gap
5366,Airport,22,Trip Completed,14-07-2016,23:27,15-07-2016,00:19,52,23,Thursday,Night,No Gap
5575,City,22,Trip Completed,15-07-2016,05:53,15-07-2016,06:50,56,5,Friday,Early Morning,No Gap
5902,City,22,Trip Completed,15-07-2016,09:52,15-07-2016,10:37,44,9,Friday,Morning,No Gap
6694,Airport,22,Trip Completed,15-07-2016,22:45,15-07-2016,23:17,32,22,Friday,Night,No Gap
523,Airport,23,Trip Completed,11-07-2016,09:48,11-07-2016,10:37,49,9,Monday,Morning,No Gap
747,City,23,Trip Completed,11-07-2016,15:53,11-07-2016,16:43,50,15,Monday,Afternoon,No Gap
1371,Airport,23,Trip Completed,12-07-2016,00:22,12-07-2016,01:33,71,0,Tuesday,Late Night,No Gap
1553,City,23,Trip Completed,12-07-2016,06:09,12-07-2016,07:09,60,6,Tuesday,Early Morning,No Gap
1692,Airport,23,Trip Completed,12-07-2016,07:52,12-07-2016,09:01,69,7,Tuesday,Early Morning,No Gap
2114,City,23,Trip Completed,12-07-2016,16:36,12-07-2016,17:21,45,16,Tuesday,Afternoon,No Gap
2742,City,23,Trip Completed,13-07-2016,03:07,13-07-2016,03:51,44,3,Wednesday,Late Night,No Gap
4273,City,23,Trip Completed,14-07-2016,06:17,14-07-2016,07:02,45,6,Thursday,Early Morning,No Gap
4668,City,23,Trip Completed,14-07-2016,12:25,14-07-2016,13:34,70,12,Thursday,Morning,No Gap
5425,City,23,Trip Completed,15-07-2016,02:23,15-07-2016,03:08,45,2,Friday,Late Night,No Gap
5488,City,23,Trip Completed,15-07-2016,04:53,15-07-2016,06:00,67,4,Friday,Late Night,No Gap
5781,City,23,Trip Completed,15-07-2016,08:35,15-07-2016,09:42,67,8,Friday,Early Morning,No Gap
5966,Airport,23,Trip Completed,15-07-2016,10:54,15-07-2016,11:58,64,10,Friday,Morning,No Gap
6122,City,23,Trip Completed,15-07-2016,15:26,15-07-2016,16:29,64,15,Friday,Afternoon,No Gap
357,Airport,24,Trip Completed,11-07-2016,08:00,11-07-2016,09:08,68,8,Monday,Early Morning,No Gap
1068,City,24,Trip Completed,11-07-2016,19:52,11-07-2016,20:48,56,19,Monday,Evening,No Gap
2689,Airport,24,Trip Completed,13-07-2016,00:34,13-07-2016,01:49,75,0,Wednesday,Late Night,No Gap
2791,City,24,Trip Completed,13-07-2016,04:56,13-07-2016,05:33,37,4,Wednesday,Late Night,No Gap
3321,City,24,Trip Completed,13-07-2016,12:23,13-07-2016,13:25,62,12,Wednesday,Morning,No Gap
3423,Airport,24,Trip Completed,13-07-2016,15:52,13-07-2016,16:50,59,15,Wednesday,Afternoon,No Gap
3761,Airport,24,Trip Completed,13-07-2016,20:35,13-07-2016,21:39,64,20,Wednesday,Evening,No Gap
4140,City,24,Trip Completed,14-07-2016,04:48,14-07-2016,06:05,77,4,Thursday,Late Night,No Gap
4656,City,24,Trip Completed,14-07-2016,12:06,14-07-2016,12:49,43,12,Thursday,Morning,No Gap
4931,Airport,24,Trip Completed,14-07-2016,18:21,14-07-2016,18:54,32,18,Thursday,Evening,No Gap
5268,City,24,Trip Completed,14-07-2016,21:29,14-07-2016,22:30,61,21,Thursday,Night,No Gap
5811,City,24,Trip Completed,15-07-2016,08:46,15-07-2016,09:26,40,8,Friday,Early Morning,No Gap
6139,Airport,24,Trip Completed,15-07-2016,15:45,15-07-2016,16:40,55,15,Friday,Afternoon,No Gap
6333,Airport,24,Trip Completed,15-07-2016,18:41,15-07-2016,19:53,72,18,Friday,Evening,No Gap
773,City,25,Trip Completed,11-07-2016,16:23,11-07-2016,17:21,58,16,Monday,Afternoon,No Gap
1123,City,25,Trip Completed,11-07-2016,20:20,11-07-2016,21:18,58,20,Monday,Evening,No Gap
2667,Airport,25,Trip Completed,12-07-2016,23:35,13-07-2016,00:40,66,23,Tuesday,Night,No Gap
2833,City,25,Trip Completed,13-07-2016,05:27,13-07-2016,06:19,52,5,Wednesday,Early Morning,No Gap
3396,City,25,Trip Completed,13-07-2016,14:59,13-07-2016,15:57,58,14,Wednesday,Afternoon,No Gap
3590,City,25,Trip Completed,13-07-2016,18:31,13-07-2016,19:31,60,18,Wednesday,Evening,No Gap
